Colonne3,Class Type,Internal class no.,Colonne1,Colonne2,Item Number
90001861,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001862,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90003407,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90003408,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007247,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007248,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007249,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007250,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007251,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007252,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007253,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007254,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007894,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007895,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90007896,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90008819,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90008820,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90008821,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90008822,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90008823,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90008824,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90008825,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90008826,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010508,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010509,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010600,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010601,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010602,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010603,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010604,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010605,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010606,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010607,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010608,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90010609,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
